,name,ingredients,steps,url
88,快速經典咖哩（露營ＯＫ）,"['洋蔥（切絲）:1中顆', '蒜頭（拍扁）:4~5辦', '紅蘿蔔（切塊）:半條', '馬鈴薯（切塊）:2小顆', '肉片:300g', '咖哩粉:適量', '咖哩塊:100g', '高湯:2～3杯']","['1:湯鍋中放一點油，炒香蒜頭和洋蔥絲', '2:放入紅蘿蔔和馬鈴薯，撒咖哩粉拌炒至香', '3:加入高湯或水蓋過食材多一點，煮沸後蓋鍋，轉中小火煮約15分鐘至食材軟', '4:加入肉片，變白後，加入咖哩塊攪拌至融化濃稠 （可加一小匙番茄醬增加口感）即完成。', '5:30分鐘不到就可以上桌好吃的咖哩飯或麵了！', '6:請享用！']",https://icook.tw//recipes/249574
89,乾煸五花肉 (露營OK),"['五花肉條:100~150g', '味增:1/2大匙', '豆瓣醬:1/2大匙', '米霖:1大匙']","['1:豬肉切5cm小片、灑塩、黒胡椒; 調好醬汁組', '2:鍋中放入肉片(無須加油)，中火兩面煎熟', '3:加入醬汁拌勻即熄火 *清爽板:醬汁加一半即可', '4:就是一道超快速下飯的主菜了! 也很適合當弁当菜喔~']",https://icook.tw//recipes/248979
90,紅酒燉肉片(露營OK),"['肉片(牛肉或豬肉):4~6片', '低筋麵粉:少許', '馬鈴薯(切小塊):1/2個', '紅蘿蔔(切小塊):1/2個', '洋蔥(切小塊或切絲):1/2個', '小番茄(切半):8~10顆', '月桂葉:2片', '高湯或水:300 ml', '紅酒:100ml', '伍斯特醬:1~2大匙', '番茄醬:2大匙', '糖:1小匙', '奶油(室溫放軟):10g', '低筋麵粉:15g']","['1:肉片兩面鋪上低筋麵粉備用、C組奶油+低筋麵粉用手揉捏混合成一體', '2:鍋中加油以大火炒香洋蔥、馬鈴薯、紅蘿蔔，加鹽和黑胡椒翻炒', '3:加入A組煮沸，放入小番茄、月桂葉，蓋鍋轉中火煮15分鐘至蔬菜軟', '4:加入肉片、B組蓋鍋煮10分鐘，加混合C組、鹽、黑胡椒攪拌，調味ok即完成', '5:拌飯、拌麵都很享受啊~']",https://icook.tw//recipes/248617
91,起司馬鈴薯餅 (露營OK),"['馬鈴薯(2顆):250~300g', 'A 乾燥香草:1/2小匙', 'A 乳酪 (絲/小塊):20g', 'A 片栗粉或太白粉:1大匙']","['1:微波法: 馬鈴薯去皮切約7～8mm，放入耐熱皿 ，600w微波5~8分鐘  *煮軟馬鈴薯的其他方法請見「小撇步」', '2:將馬鈴薯壓泥，加入(A)、鹽（1g）、黑胡椒 攪拌均勻', '3:分捏成5~6等分，可捏成球狀壓扁，也可塑成三角形', '4:鍋放油開中小火，放入薯塊，両面煎至金黃色即完成', '5:請享用~']",https://icook.tw//recipes/248488
92,簡單好上手－日式煎餃,"['冷凍水餃:看要吃幾顆', '麵粉:1/4碗', '水:1/2碗', '鹽或黑胡椒(可無):少許', '香油(可無):三滴']","['1:(鍋子建議平底的那種)\r:先加一點點油在鍋子上,\r:擺上水餃，\r:在擺的時候可以讓水餃沾一點油或一開始將鍋子整面都有吃到一點油\r:這樣比較不會沾', '2:開中火熱鍋，加入調好的麵粉水，輕微轉動鍋子使其均勻分佈，蓋上鍋蓋等５～８分鐘\r:【主要看水量及水餃的大小決定時間】', '3:開蓋，此時等待酥脆皮收乾變成金黃色即可關火，觀察皮是否與鍋子分離，若無則需要用鍋鏟輕輕的將他們分離，然後再拿一個比食物大面積的盤子倒扣,完成！大塊朵頤😋', '4:可以裝飾一下，淋上醬油膏及美奶滋，撒上柴魚片 會感覺變更厲害！\r:(但美奶滋滿肥的，偶爾吃吃就好)']",https://icook.tw//recipes/248444
93,青江菜拌飯 (露營OK),"['青江菜:2把', '香油:數滴', '鹽昆布(或味付燒海苔):適量', '白飯:2碗']","['1:煮滾水，放入青菜燙軟即撈起', '2:切小段後與幾滴香油拌一拌', '3:調理盆中放入青江菜、鹽昆布、白飯，攪拌均勻即完成! 請享用']",https://icook.tw//recipes/248369
95,照燒金針菇肉捲,"['梅花火鍋肉片:一盒', '金針菇:一包', '醬油:1.5大匙', '味霖:1.5大匙', '酒:適量', '白芝麻:少許']","['1:將金針姑捲入肉片，收口朝下入鍋略煎盛起備用。', '2:把醬汁倒入原鍋中煮開。', '3:把煎好的肉捲倒回鍋裡，煮至收汁，撒上白芝麻就完成囉~']",https://icook.tw//recipes/276997
97,咖哩炒飯 (露營OK),"['白飯:2~3碗', '薄肉片:3~4片', '青江菜或韭菜等綠葉菜(切末):一把', '雞蛋:2~3顆', '咖哩粉:1/2~1大匙', '番茄醬:1/2大匙', '醬油:1大匙', '蒜末:1瓣']","['1:肉片以醃肉汁略抓，靜置5~10鐘', '2:熱鍋加一點油，倒入打散的蛋，略成形即盛起', '3:鍋中再加一點點油，平鋪肉片，炒至變色', '4:放入飯翻炒，接著加入綠葉蔬菜，', '5:灑入咖哩粉和番茄醬拌炒均勻，加鹽、黑胡椒調整鹹淡', '6:最後倒入半熟蛋炒至熟即完成!', '7:一口接著一口的咖哩炒飯，請享用!']",https://icook.tw//recipes/247766
98,番茄蛋花湯 (露營OK),"['高湯:3~4杯', '蔥白 (切段):1支', '薑 (切片):2片', '牛番茄(切塊)或小番茄(切半):1顆或6個', '雞蛋:1個', '香油:數滴']","['1:小鍋中放入高湯、番茄、蔥段、薑片，煮滾後轉小火煮10分鐘', '2:加鹽、黑胡椒調味', '3:將蛋打散，呈圓周狀倒入小鍋，成形立刻熄火', '4:滴入香油就好了喔!']",https://icook.tw//recipes/247561
99,韓式肉片煎餅 (露營OK),"['韭菜 (切3公分段):50g', '洋蔥 (切絲):50g', '薄肉片 (切小片):50g', '蛋:1個', '水:100cc', '鹽:3g', '低筋麵粉:60g', '片栗粉或太白粉:40g', '醬油:1大匙', '醋 (自行調整酸度):1/2 大匙', '砂糖、辣椒醬、香油:各1/2 小匙', '白芝麻:適量']","['1:將洋蔥切絲、韭菜切3公分小段', '2:將蛋、水、鹽放入調理盆中攪拌均勻', '3:加入韭菜、洋蔥、肉片混合', '4:鍋中加油，開中火，倒入麵糊，搖晃鍋子讓厚度平均 (大鍋煎出的餅較扁，鍋小較厚)', '5:上色後(約4分鐘) 翻面、壓一壓，從邊緣縫隙加入香油1小匙，再煎3~4分鐘，直到香味飄出即可熄火', '6:就是一盤有肉有菜的喀吱喀吱好吃煎餅了!', '7:請享用!']",https://icook.tw//recipes/247559
100,鹽麴雞肉燒 (露營OK),"['無骨雞腿:300g', '青蔥 (蔥綠斜切絲):2~3支', '片栗粉或太白粉:少許', '鹽麴 或:2大匙', '鹽:1小匙', '白胡椒:少許', '醬油:1大匙', '醋:1/2大匙', '糖:1/2小匙']","['1:雞腿肉整隻和醃漬組 (鹽麴 或 鹽+白胡椒 擇一) 裝入密封袋揉捏，靜置至少10分鐘，冰箱入味整夜更好', '2:取出鶏肉，切比一口還大(因為煮完會縮小)，薄灑片栗粉', '3:鍋中加少許油、平鋪放入雞肉。中小火煎4分鐘，反面煎2分鐘，加入1~2大匙水，蓋鍋蒸煮4分鐘', '4:開鍋加入青蔥略炒一下，續加醬汁組中火收乾。完成!', '5:就是一道超下飯的主食和弁当大菜嚕!']",https://icook.tw//recipes/247428
101,鮪魚杏鮑菇炒蛋 五分鐘露營野餐家常菜,"['鮪魚罐頭:一罐', '雞蛋:二到三顆', '杏鮑菇:200克', '水~煮杏鮑菇:1/3杯', '水~調蛋液:1/2杯']","['1:1.杏鮑菇洗淨\r:2.鮪魚罐頭打開，用叉子把鮪魚肉略微戳碎', '2:杏鮑菇用手撕成粗絲，或用刀切成薄片，不必太工整，但粗細不要差太多，比較容易一起熟。', '3:1.鍋中放三分之一杯水及鮪魚罐頭的油，放入杏包菇，轉大火 \r:\r:2.煮約1分鐘， 開蓋列為翻炒一下，此時杏鮑菇應該已經大致變軟。\r:\r:3. 若還沒軟就再炒幾下', '4:雞蛋打勻 ，備用', '5:1.炒熟的杏鮑菇先取出備用\r:2.加入蛋液（2-3個蛋加1/2杯水），開大火或中火,用鍋鏟迅速以刮過鍋底的方式，拌炒蛋液，直到所有蛋液都被炒熟膨起。', '6:蛋液都膨起後，加入 杏鮑菇及鮪魚 一起翻炒 。 炒完即完成今天的美味飯菜。']",https://icook.tw//recipes/247256
102,杏鮑菇培根捲（露營ＯＫ）,"['杏鮑菇:4條', '培根:4片', '酒:1大匙']","['1:將培根鋪平，杏鮑菇放在一端，滾動網上捲包覆住菇 (可用牙籤串緊)', '2:平底鍋中放入一點油(或奶油更香)，開中小火，放入杏鮑菇捲，滾動香煎一下', '3:倒入酒，蓋鍋小火悶蒸5分鐘，開鍋收煎乾', '4:完成後可隨意灑上黑胡椒(可略)及完成', '5:就是一道下酒、下飯的好菜啦~']",https://icook.tw//recipes/247162
103,露營煎餃,"['水餃:12', '玉米粉:一小撮', '水:100g']","['1:首先熱鍋倒油之後，放入水餃，火不用太大。大約2分鐘之後，可將事前調好的麵糊，這次使用的是玉米粉與水，粉只要一點點就好，然後攪和好倒入鍋中，蓋上蓋子悶大約8分鐘，用小火就可以了。', '2:目的是透過半煎半蒸的方式，將水餃的內部給煮熟，因此水量的控制十分重要。', '3:差不多後就可以起鍋了，若不確定有沒有熟可以先用筷子偷偷戳其中一顆，看裡面有沒有湯汁流出，有的話就差不多了。']",https://icook.tw//recipes/246432
104,小肉丸冬粉湯 （露營ＯＫ）,"['冬粉（可先泡水）:2~3把', '小肉丸:8顆', '高湯或水:5杯', '酒:2大匙', '鹽:1小匙', '白胡椒:少許', '香油:0.5', '青江菜等旅色蔬菜:1~2把']","['1:高湯或水加酒、鹽、胡椒煮滾後，加入肉丸，蓋鍋中小火煮10分', '2:加入冬粉蓋鍋煮5分鐘，加入青江菜等青菜再煮2~3分鐘', '3:熄火前加入香油，加鹽調鹹淡即完成。', '4:請享用暖身暖心的清爽「肉團子春雨」！']",https://icook.tw//recipes/246196
105,金針菇小肉丸 (露營OK),"['金針菇:200g(約一包)', '絞肉:500g', 'A. 蔥(末):一支', 'A. 蛋:一顆', 'A. 酒:3大匙', 'A. 低筋麵粉:3大匙', 'A. 鹽:1g', 'A. 白胡椒:少許', '醬油:2大匙', '米霖:2大匙', '酒:1大匙', '水:2大匙', '片栗粉或太白粉:1小匙']","['1:將金針菇洗淨，尾部去掉，切一公分長短', '2:調理盆中放入金針菇、A全體、絞肉，充分揉捏混合，分成喜歡的大小(約20顆)', '3:**此為兩人份** 鍋中加一點點油，放入小肉丸開中小火熱，上下左右各煎幾分鐘至上色赤赤', '4:蓋鍋轉小火，蒸煎約3分，加入[醬汁]組，再蓋鍋再煮1~2分至稠，', '5:上下滾動丸子使其都沾到醬汁，即可盛盤', '6:就完成很下飯又營養豐富的照燒小肉球喔!']",https://icook.tw//recipes/246077
106,雞翅甘辛煮 (露營OK),"['雞翅:4隻', '香油:1大匙', '醬油:3大匙', '醋:2大匙', '米霖:2大匙', '酒:3大匙', '糖:1大匙']","['1:鶏翅薄薄灑塩、黒胡椒。平底鍋加香油、放入鶏翅以中大火煎至變色', '2:翻面再煎一下，放入2大匙水，蓋鍋轉小火蒸煮5分鐘', '3:加入煮汁，再蓋鍋煮3~5分鐘即可。', '4:甘辛煮汁很下飯，淋飯拌麵都很讚!']",https://icook.tw//recipes/245946
107,照燒蘆筍捲 (露營OK),"['火鍋肉片:4片', '蘆筍:8支', '低筋麵粉:少許', '醬油:1大匙', '米霖:1大匙', '白醋:0.5大匙', '奶油(可略):5g']","['1:豚肉空灑薄塩、黑胡椒，每片切半成2長條', '2:蘆筍取前面較嫩的部分切成幾段', '3:放2~3支蘆筍在肉片前端，呈螺旋状巻上去、最後捏緊', '4:肉捲薄薄沾上低筋麵粉，鍋中加少許油，開中小火，放上蘆筍捲', '5:每面煎約3〜4分，反面亦然', '6:加入 醬汁 組煮至稠（約一分鐘）', '7:將蘆筍捲滾一滾，沾滿汁取出擺盤。即完成!', '8:超下飯的好菜！']",https://icook.tw//recipes/245567
108,蘿蔔肉片湯(露營OK),"['白蘿蔔(切薄片):約3公分', '火鍋肉片:4片', '薑:1小片', '蒜片:1~2瓣', '八角(可略):1個']","['1:湯鍋放入水600~800ml，加蘿蔔片以中大火煮10分鐘', '2:加入肉片煮3分鐘，加鹽、白胡椒調味', '3:放入八角提味，即完成', '4:啊~好好喝!']",https://icook.tw//recipes/245176
109,櫻花蝦竹輪炒飯(露營OK),"['冷飯:2人份', '蒜片:2~3瓣', '櫻花蝦:5~10g', '竹輪(切片):適量', '青江菜或油菜(切末):一把']","['1:鍋中熱少許油，放入蒜片和櫻花蝦中火煎至香味飄出', '2:下竹輪和冷飯，拌炒至均勻飯變熱', '3:加入青菜，炒至軟即可加鹽、黑胡椒調味', '4:上桌，開動!']",https://icook.tw//recipes/245175
110,榨菜肉絲麵 榨菜炒肉絲 #露營 #野炊,"['榨菜切絲:1/2-1顆', '五花肉切絲:300-600g', '紅辣椒切絲(可不加，配色微辣):1-2條', '柴魚粉:1小匙', '薑片切絲(可不加):5片', '胡椒粉(可不加):1小匙', '米酒:1大匙', '香油:1大匙', '醬油:2大匙', '米酒:2大匙', '香油:2大匙', '胡椒粉:可不加，1小匙']","['1:1.肉絲先醃醬油，太白粉及米酒.\r:   榨菜切絲泡水去掉一些鹽分。\r:2.熱鍋冷油爆香薑絲及辣椒絲。\r:3.加入肉絲拌炒到半數轉白。\r:3.加入榨菜絲，米酒一起拌炒，加柴魚粉及胡椒粉調味，加點香油拌炒一下，起鍋。', '2:煮榨菜肉絲麵線\r:1.炒榨菜肉絲時，一邊燒一鍋水，準備煮麵。', '3:2.麵煮到七八分，倒出過多的煮麵水，留下要吃幾碗就留幾碗的份量的水\r:\r:把炒好的榨菜肉絲丟進麵湯一起煮到麵熟，加入高湯塊或柴魚粉調味，撈出麵條，裝入湯汁。', '4:也可以麵煮好，另外備調好味的高湯在碗裡，再把麵條裝入，再放榨菜肉絲，這樣湯會比較清澈，沒有煮麵條的澱粉水在湯裡。\r:\r:不過個人喜歡榨菜肉絲跟麵一起煮過的滋味，湯喝起來會有榨菜肉絲的濃郁香味。所以都會一起煮過才上桌。', '5:肉絲醃漬時加入香油或沙拉油，炒的時候就會自動分開，不易黏在一起。']",https://icook.tw//recipes/244967
111,虱目魚肚粥(露營OK),"['油蔥:1匙', '絞肉:100g', '高湯或水:4~5杯', '虱目魚肚:2條', '白飯:1.5碗', '薑(切絲):適量', '芹菜或韭菜(切末):適量']","['1:湯鍋放一匙油蔥(也可2匙)開中小火，放入絞肉炒至變白', '2:加入4~5杯高湯或水，煮滾後放入白飯和魚片，滾後轉小火煮五分鐘', '3:加鹽和白胡椒調鹹淡', '4:舀入碗中，加薑絲和芹菜及完成!', '5:開動～']",https://icook.tw//recipes/244639
112,蔥油淋雞(露營OK),"['去骨雞腿肉:1支(150g)', 'A. 蔥(切段):支', 'A. 塩:1g', 'A. 白胡椒:適量', 'A. 香油:大1', '片栗粉(或太白粉):適量', '醬油:1大匙', '醋:1/2大匙', '糖:1/3大匙', '香油:1/2大匙', '蔥(斜切段):1支']","['1:[前置] 將A放入密封袋中，再放入整支雞腿肉，以叉子在雞腿上刺一刺，充分揉捏使A完全沾覆到雞腿', '2:靜置至少30分，或將密封袋封緊冰入冰箱一夜', '3:取出雞腿肉，兩面薄鋪上片栗粉，鍋加少許油開中火', '4:皮向下煎約3分鐘，翻面續煎3分鐘，加一點水蓋鍋轉小火悶蒸5分鐘，再翻面蓋鍋悶蒸5分鐘至熟', '5:將醬汁組微波600W40秒~1分鐘(至香味飄出)，或開蓋直接倒入鍋中煮至快收乾', '6:雞肉切成喜歡大小，淋上熱騰騰的醬汁組，超下飯的油淋雞上桌了!  開動~']",https://icook.tw//recipes/243723
113,超快速肉燥(露營OK),"['豬絞肉:150g', '薑(末):1公分小段', '蒜(末):1~2瓣', '豆鼓:5顆左右', '醬油膏:1大匙', '糖:1g左右', '辣椒(可省):1小段']","['1:平鍋熱一點點油，放入豆鼓炒香', '2:加入蒜末、薑末炒至香味飄出，入絞肉炒至變白', '3:加入醬油膏和糖，翻炒至上色即完成! *辣椒可此時放比較不辣', '4:如果喜歡乾焦一點的就炒久一點，喜歡juicy口感的，這樣就完成嚕!', '5:十分鐘就可上桌餵飽小孩!']",https://icook.tw//recipes/243242
114,壽喜燒,"['洋蔥:1/2顆', '火鍋肉片（牛豬皆可）:1/2盒', '生豆皮:2塊', '傳統豆腐:1塊', '杏鮑菇（任何菇皆可）:1根', '娃娃菜:2棵', '蒜苗:適量', '火鍋料:隨意', '醬油:50cc', '味霖:50cc', '海帶高湯（或一般高湯）:75cc', '米酒:25cc', '水:60cc']","['1:準備量杯', '2:將乾燥海帶芽（或昆布）用75cc的熱水浸泡10分鐘，就成了海帶高湯', '3:將醬汁調和備用', '4:起油鍋將洋蔥絲炒香', '5:倒入醬汁煮滾', '6:加入娃娃菜煮軟（用白菜或高麗菜皆可）', '7:將備料全部放入鍋中熬煮約5~7分鐘入味', '8:最後加入肉片煮熟就完成了']",https://icook.tw//recipes/280598
115,茄汁豬肉燴飯(露營OK),"['火鍋肉片:200g', '低筋麵粉:1大匙', '洋蔥(絲):1顆', '鴻禧菇:100g(一包)', '奶油:10g', '番茄醬:3~4大匙', '伍斯特醬(或烏醋):2(或1)小匙', '醬油:1小匙', '糖:1小匙', '鹽:1/2小匙', '水:150g']","['1:肉片用麵粉抓一抓、將醬汁組調好', '2:鍋中加少許油，以中火炒香洋蔥', '3:放入肉片炒至白或有點褐色，加入菇菇炒一下', '4:加入醬汁組拌勻後，蓋鍋煮約1~2分即可。趁熱加入奶油溶化攪拌', '5:料理時間只要10分鐘，就可以變出好吃的營養燴飯呦!', '6:超秒殺燴飯，開動了!']",https://icook.tw//recipes/242535
116,【日式副菜】照燒煎南瓜（露營OK）,"['南瓜切片:6~8片', '芝麻:少許', '醬油:1小匙', '糖:1/2小匙']","['1:平鍋中放少許油，開中小火，放入南瓜片，兩面煎至軟 (煎完後可蓋鍋悶煮3分鐘)', '2:將照燒汁調好，倒入鍋中，搖晃鍋子讓南瓜沾到醬汁，收乾即可關火', '3:灑上白芝麻，就是一道非常日式的配菜囉~']",https://icook.tw//recipes/242482
117,免炸～日式炸雞 (露營OK),"['去骨雞腿肉:300g', '片栗粉或太白粉:4大匙', '日式醬油:2大匙', '美乃滋或沙拉醬:1大匙', '醬油:1小匙', '糖:1小匙', '蒜末:1~2瓣', '鹽:1~2g', '白胡椒:隨意']","['1:雞肉切成兩口大小(不要太小，煎了會縮小)', '2:將雞肉和醃肉醬料一起放入密封袋中揉捏均勻，放置冰箱一夜', '3:將醃漬密封袋打開，加3大匙片栗粉，揉捏均勻', '4:平鍋中加入油至0.2~5cm高度即可，開中小火熱油', '5:將雞肉取出，鋪在平盤上，空撒一匙片栗粉，拍勻', '6:鍋中放入雞肉，不要重疊，煎3~4分鐘至肉變褐色、赤赤', '7:翻面在煎1~2分鐘即可', '8:可先將雞肉放在廚房紙巾上吸油再上桌', '9:就是一道口感跟唐揚雞不相上下的炸雞，而且超少油的!', '10:盡情享用吧~~']",https://icook.tw//recipes/242420
118,簡易版👌泰式打拋豬,"['豬絞肉:1份', '九層塔:適量', '鹽:少許', '牛番茄:三分之一', '糖:少許', '蒜末:適量', '辣椒:2根', '醬油膏:1匙', '醬油:1匙', '魚露:1匙', '水:2.5匙']","['1:下油熱鍋，爆香蒜末、辣椒', '2:加入豬絞肉拌炒（至差不多熟後），下醬料拌炒至上色，放少許的糖讓菜不死鹹', '3:放入切好的番茄，炒約15秒即可', '4:加入九層塔拌炒5秒，關火後擠檸檬汁\r:（一定要關火不然檸檬酸味會揮發掉）', '5:完成起鍋']",https://icook.tw//recipes/265697
119,梅干菜肉丸（露營OK）,"['豬絞肉:500g', '梅干菜:50g', '蒜末:10~30g', '醬油:40g', '酒:15g', '糖:5g', '白胡椒:少許', '鹽:1g', '香油:5g', '水:30g', '太白粉或片栗粉:2g']","['1:將所有材料連醬汁一起放入調理盆中，用手捏或以筷子快速攪拌至有黏性', '2:依照喜好分成數個小肉丸，將肉丸在兩手之間拋甩至少15次，放入平盤中', '3:外鍋放一杯水（200cc），放入平盤，按下電鍋開關', '4:蒸至跳起（約20分），悶10分鐘即完成']",https://icook.tw//recipes/241370
120,露營飯糰,"['白飯:10碗', '御香鬆:少許', '肉鬆:少許', '煎烤肉片:少許', '煎鹹魚丁:少許', '海苔:1包']","['1:白飯放冷拌上御香鬆備用', '2:用壓飯糰模具:一層白飯+一層料（肉鬆.烤肉片.鹹魚丁）+一層白飯:用力壓脫模備用', '3:包上海苔既可']",https://icook.tw//recipes/271571
121,露營蜜汁排骨,"['排骨:2斤', '水蜜桃罐頭:1罐', '八角:1粒', '蒜頭（對切一半）:3粒', '蔥（不切打結）:1株', '麥芽糖:1湯匙', '頻果醋:2湯匙', '冰糖:2湯匙', '醬油:1湯匙', '白芝麻:少許', '檸檬皮:少許', '辣椒末:少許']","['1:排骨用熱水燙過去雜質備用', '2:用一點食用油將燙過的排骨煎到焦香:+冰糖炒出糖色:+蘋果醋幫助糖溶解', '3:加入醬油+水蓋過排骨+八角+蒜+蔥+麥芽糖:不加蓋:一直煮到收汁', '4:將水蜜桃切片擺盤:燒好的排骨放中間:最後撒上白芝麻+檸檬皮+辣椒末:既可上菜']",https://icook.tw//recipes/238658
122,露營炸豬排,"['厚切豬里肌肉:4片', '醬油:1湯匙', '糖:1湯匙', '白胡椒:少許', '米酒:少許', '蛋:2粒', '太白粉:適量', '麵包粉:適量']","['1:里肌肉用刀背敲打到散軟:加醃料醃10分鐘', '2:上炸粉順序：:醃好的肉～沾太白粉靜置1分鐘～蛋液～麵包粉', '3:中小火油炸到熟就可以了']",https://icook.tw//recipes/237874
123,露營蕃茄義大利麵,"['義大利麵:一包', '豬後腿絞肉:1斤', '洋蔥切末:1顆', '牛蕃茄:3顆', '胡椒粉:少許', '番茄醬:4湯匙', '醬油:1湯匙', '糖:2湯匙', '義式香料粉:少許']","['1:蕃茄燙熱水剝皮去蒂～再切丁備用', '2:洋蔥末與食用油拌炒出香味+豬後腿絞肉拌炒出香味+胡椒粉+義式香料粉', '3:番茄醬+醬油+糖混合加入炒香的絞肉中拌炒一下\r:再加番茄丁炒出汁+水蓋過食材燉煮到濃稠既可', '4:義大利麵+鹽水一起煮15分鐘～煮熟用冷水洗滌瀝乾備用', '5:蕃茄肉醬拌在義大利麵上面既可']",https://icook.tw//recipes/237841
124,柚子胡椒燒肉丼 (露營OK),"['火鍋肉片:200g', '紅酒:1大匙', '醬油:1大匙', '米霖:1大匙', '糖:0.5小匙', '柚子胡椒:0.5小匙']","['1:鍋加一點油，放入肉片、輕灑塩、白胡椒，中火炒至變色', '2:加入醬汁，翻炒煮1～2分即完成!']",https://icook.tw//recipes/236946
125,かにの栗子牛肉燉飯,"['白米:2米杯', '牛里肌肉:300g', '蒜頭:5瓣', '洋蔥:1/3個', '奶油:1T', '新鮮栗子:12顆', '蘑菇:5個', '青花椰:半朵', '玉米筍:3支', '青蔥:1根', '鰹魚高湯:2.5米杯', '鐵鍋或鑄鐵鍋:1只', '黑胡椒粒:1t']","['1:備料 青蔥切蔥花，洋蔥切絲，花椰菜分小朵，蘑菇切片，玉米筍斜切大丁，蒜頭切末', '2:牛肉切大塊，先煎過或炸過  備用', '3:起油鍋，下奶油，加蒜末，洋蔥與蘑菇下去爆香', '4:加牛肉，玉米筍，栗子一起拌炒', '5:加入洗淨的生米與黑胡椒粒一起拌炒', '6:所有材料拌炒均勻', '7:加入高湯，以中大火先煮滾', '8:加鍋蓋中小火煮15分鐘至水乾，熄火悶十分鐘，灑上蔥花即可開飯了']",https://icook.tw//recipes/230379
126,塩豚什錦味增麵（露營OK）,"['麵:2把', '鹽豚(切片):150~200g', '味増:2大匙', '白蘿蔔(輪切後切塊):5公分', '紅蘿蔔(切絲):1/4根', '高麗菜:隨意', '蔥(切段):1支', '青江菜:6~8支', '其他食材:隨意', '米霖:1大匙', '酒:1大匙']","['1:湯鍋中加一點點油，放入塩豚片，中火兩面煎至變色，取出。', '2:另熱湯鍋煮軟麵條。', '3:原鍋加入蔥段，及需要較長時間煮軟的野菜 (紅蘿蔔、白蘿蔔、高麗菜等)，炒一下變軟後，加入高湯或水至比食材高一點份量，蓋鍋煮五分鐘。', '4:開蓋加入米霖、酒，塩豚及其他食材，煮兩分鐘。', '5:加入味増及辣椒粉(可省)，可加鹽等調整味道，即完成', '6:一碗每樣食材都很好吃的什錦湯麵，開動了!']",https://icook.tw//recipes/236686
127,鍋燒烏龍麵(露營OK),"['高湯或水:600~800ml', '烏龍麵:2把', '菠菜:2把', '京都水菜:1把', '紅蘿蔔(切片):2~4片', '鮮香菇:2~4朵', '魚板:隨意', '竹輪:2~4個', '火鍋肉片:4片', '油豆腐或豆皮:2個', '醬油:3大匙', '日式醬油:2大匙', '米霖:1~2大匙']","['1:煮一鍋水燙食材用。土鍋加水600~800 ml 和湯頭底煮滾', '2:1. 滾水鍋加入菠菜、香菇燙一下即撈起 2. 加入紅蘿蔔、竹輪、魚板，煮2~5分鐘即盛起 3.加入烏龍麵煮滾1分鐘撈起(準備直接放入土鍋)', '3:土鍋中的湯滾後，加入肉片，烏龍麵從另一鍋撈過來，鋪上所有食材，中火煮滾後放入京都水菜即可上桌嚕!', '4:熱呼呼啊~~~']",https://icook.tw//recipes/236026
129,【日式副菜】菇菇煮(露營OK),"['柳松菇:1包(約200g)', '蔥:一隻', '香油:少許', '醬油:1大匙', '酒:1大匙', '素蠔油:1大匙', '糖:1/3小匙', '片栗粉或太白粉:1/2大匙', '水:2大匙']","['1:蔥從蔥白和蔥綠地方切開，蔥白切小段，蔥綠切末', '2:小鍋加香油，加入蔥白和菇，炒至出水', '3:加入醬汁，煮至滾，加入調好的[勾芡]水，至滾即可熄火', '4:瀝起菇菇，鋪上青蔥，就是一道好吃的菇菇煮', '5:[同場加碼] 原鍋注入水，加海帶芽，煮至滾，可加鹽或胡椒調味，即為好喝的湯品了。']",https://icook.tw//recipes/235874
130,輕辣照燒口袋三明治(露營OK),"['厚片吐司:2片', '雞肉或火鍋肉片:150~200g', '洋蔥(切絲):30~50g', '乳酪絲(可略):約30g', '生菜(任意):一些', '番茄片:4片', '辣椒醬或豆瓣醬:1大匙', '醬油:1大匙', '米霖:1大匙', '番茄醬:1大匙', '糖:1/2小匙']","['1:鍋中抹薄薄油，將土司兩面微煎至表面酥脆(也可送烤箱烤)，切掉一邊土司邊(高矮隨喜)，切割深入呈袋状。', '2:鍋中加油，放入雞肉丁或肉片炒至變色，加洋蔥炒至軟', '3:加醬汁炒至水份收乾，加入乳酪絲輕輕混和至稠狀(可略)。', '4:將生菜、番茄片塞入吐司口袋，夾入照燒肉，即完成啦!']",https://icook.tw//recipes/235733
131,10分鐘！酥香培根馬鈴薯餅,"['培根:2-3條', '馬鈴薯:中型1顆', '雞蛋:1個份', '鹽:少許(見小撇步)', '蔥花(配色用可略):1大匙']","['1:馬鈴薯刨成細絲，培根切成碎丁，蛋和鹽打散成蛋液，蔥花準備好。', '2:所有材料一起拌勻。', '3:中小火起油鍋加入1大匙油燒熱，可用小塊的廚房紙巾塗抹均勻。', '4:將步驟2全部倒入，用鍋鏟按壓整平。', '5:火力轉成小火，煎成金黃微焦後翻面，可用鍋鏟稍微翻起邊邊查看，上色足夠即可翻面。', '6:另一面也煎香後關火盛盤，視喜好可灑些黑胡椒提味，切片或切塊享用～', '7:外酥內軟的薯餅，也吃得到鹹香的培根，可以直接當作主食享用～', '8:同場加映一個保存小技巧：培根通常拆封後要儘速用完，放冷凍會黏在一起不好處理，只要一條條都捲起來，排放整齊放入保鮮袋中，就可以不怕沾黏地放入冷凍保存，但還是不要放太久喔！']",https://icook.tw//recipes/234734
